,b0,b1,b2,b3,dt,stationId,w
194,78,77,75,68,2017-06-25 11:05:17.648,480049000c51343334363138,0
195,85,82,81,69,2017-06-25 15:20:34.896,480049000c51343334363138,0
196,61,60,57,48,2017-05-13 04:10:51.304,480049000c51343334363138,0
197,60,59,56,48,2017-05-13 12:30:05.566,480049000c51343334363138,0
198,60,60,57,50,2017-06-08 20:15:03.569,480049000c51343334363138,0
199,60,59,56,50,2017-06-09 05:40:34.190,480049000c51343334363138,0
200,90,77,74,67,2017-06-09 17:45:34.646,480049000c51343334363138,0
201,96,78,74,67,2017-06-09 22:05:33.998,480049000c51343334363138,0
202,80,77,74,67,2017-06-10 02:15:32.066,480049000c51343334363138,0
203,81,77,74,67,2017-06-10 06:25:30.485,480049000c51343334363138,0
204,81,77,74,67,2017-06-10 10:35:31.249,480049000c51343334363138,0
205,132,97,82,69,2017-06-10 14:45:30.306,480049000c51343334363138,0
206,83,79,77,68,2017-06-16 16:00:35.249,480049000c51343334363138,0
207,80,79,75,68,2017-06-16 20:10:33.947,480049000c51343334363138,0
208,82,81,78,69,2017-06-17 00:20:32.239,480049000c51343334363138,0
209,78,78,76,69,2017-06-17 04:30:31.269,480049000c51343334363138,0
210,78,77,76,69,2017-06-17 08:40:31.978,480049000c51343334363138,0
211,79,78,76,69,2017-06-17 12:50:30.074,480049000c51343334363138,0
212,81,80,76,68,2017-06-17 17:00:29.143,480049000c51343334363138,0
213,80,79,74,68,2017-06-17 21:10:26.783,480049000c51343334363138,0
214,83,78,76,69,2017-06-18 01:20:26.458,480049000c51343334363138,0
215,78,78,76,69,2017-06-18 05:30:26.291,480049000c51343334363138,0
216,79,78,76,69,2017-06-18 09:40:24.864,480049000c51343334363138,0
217,83,82,79,70,2017-06-18 13:55:33.315,480049000c51343334363138,6
218,80,80,76,68,2017-06-18 18:10:34.612,480049000c51343334363138,0
219,79,78,75,68,2017-06-18 22:20:33.671,480049000c51343334363138,0
220,84,79,77,70,2017-06-19 02:30:32.832,480049000c51343334363138,0
221,79,78,76,69,2017-06-19 06:40:31.239,480049000c51343334363138,0
222,81,78,76,69,2017-06-19 10:50:29.700,480049000c51343334363138,0
223,86,79,77,69,2017-06-19 15:00:28.832,480049000c51343334363138,0
224,80,78,76,69,2017-06-19 19:10:28.821,480049000c51343334363138,0
225,79,78,76,69,2017-06-19 23:20:26.080,480049000c51343334363138,0
226,81,78,76,69,2017-06-20 03:30:25.306,480049000c51343334363138,0
227,79,78,75,68,2017-06-20 07:40:25.518,480049000c51343334363138,0
228,80,79,76,68,2017-06-22 18:05:34.251,480049000c51343334363138,0
229,78,78,76,68,2017-06-22 22:15:34.030,480049000c51343334363138,0
230,79,78,76,70,2017-06-23 03:40:31.552,480049000c51343334363138,0
231,79,78,76,69,2017-06-23 09:05:31.381,480049000c51343334363138,0
232,84,81,79,71,2017-06-23 13:15:30.429,480049000c51343334363138,0
233,86,80,78,69,2017-06-23 17:25:27.921,480049000c51343334363138,0
234,78,78,74,68,2017-06-23 21:35:26.928,480049000c51343334363138,0
235,82,78,77,70,2017-06-24 01:45:26.637,480049000c51343334363138,0
236,79,78,76,70,2017-06-24 05:55:24.601,480049000c51343334363138,0
237,78,77,76,69,2017-06-24 10:05:23.184,480049000c51343334363138,0
238,87,82,79,70,2017-06-24 14:15:22.775,480049000c51343334363138,0
