File,Whistle,maxSNR1,bins1,maxSNR2,bins2,maxSNR3,bins3
2017-11-03T085500_0004e9e500057249_2.0.wav,0,12.928691,10,7.157784,0,2.844542,0
2017-11-03T090000_0004e9e500057249_2.0.wav,0,12.921975,16,7.168839,0,3.134366,0
2017-11-03T090500_0004e9e500057249_2.0.wav,0,25.579662,14,17.346593,1,6.207783,0
2017-11-03T091000_0004e9e500057249_2.0.wav,0,13.974383,13,8.661196,0,3.344002,0
2017-11-03T092000_0004e9e500057249_2.0.wav,0,19.467857,14,12.215061,1,3.708145,0
2017-11-03T092500_0004e9e500057249_2.0.wav,0,13.473124,14,7.505146,0,3.382273,0
2017-11-03T093000_0004e9e500057249_2.0.wav,0,16.905152,16,9.530965,0,3.110752,0
2017-11-03T093500_0004e9e500057249_2.0.wav,0,16.861334,13,8.962254,0,3.373315,0
2017-11-03T094000_0004e9e500057249_2.0.wav,0,13.177555,9,8.15116,0,3.321866,0
2017-11-03T095000_0004e9e500057249_2.0.wav,0,13.319944,17,7.994793,0,3.101757,0
2017-11-03T095500_0004e9e500057249_2.0.wav,0,18.305293,14,10.672031,1,3.594185,0
2017-11-03T100000_0004e9e500057249_2.0.wav,0,15.56213,14,6.62643,0,3.281344,0
2017-11-03T102000_0004e9e500057249_2.0.wav,0,15.502267,14,9.359881,0,3.647085,0
2017-11-03T102500_0004e9e500057249_2.0.wav,0,14.430579,9,8.905788,0,3.376478,0
2017-11-03T103000_0004e9e500057249_2.0.wav,0,17.585006,76,8.895471,0,4.556992,0
2017-11-03T103500_0004e9e500057249_2.0.wav,0,16.095012,14,7.675635,0,3.909625,0
2017-11-03T104000_0004e9e500057249_2.0.wav,0,14.59009,19,8.381227,0,3.318008,0
2017-11-03T104500_0004e9e500057249_2.0.wav,0,15.308704,16,7.42147,0,3.209035,0
2017-11-03T105500_0004e9e500057249_2.0.wav,0,13.796944,20,7.638202,0,3.343974,0
2017-11-03T110500_0004e9e500057249_2.0.wav,0,13.425577,19,8.013644,0,3.200322,0
2017-11-03T111000_0004e9e500057249_2.0.wav,0,12.979852,11,6.900222,0,3.318101,0
2017-11-03T111500_0004e9e500057249_2.0.wav,0,32.902799,15,15.189308,2,5.061428,0
2017-11-03T112500_0004e9e500057249_2.0.wav,0,14.295038,17,7.93408,0,3.234843,0
2017-11-03T113000_0004e9e500057249_2.0.wav,0,16.185768,17,11.477956,1,4.118506,0
2017-11-03T113500_0004e9e500057249_2.0.wav,0,14.048919,20,8.062465,0,3.279862,0
2017-11-03T114000_0004e9e500057249_2.0.wav,0,16.56538,15,7.518333,0,3.280888,0
2017-11-03T114500_0004e9e500057249_2.0.wav,0,16.529828,24,10.250269,1,4.116346,0
2017-11-03T115000_0004e9e500057249_2.0.wav,0,14.942385,13,7.828597,0,3.326713,0
2017-11-03T120000_0004e9e500057249_2.0.wav,0,15.319986,35,8.233221,0,3.916135,0
